"ORN","Es Senia Airport","Oran","35.6239013672","-0.6211829781529999"
"BFW","Sidi Bel Abbes Airport","Sidi Bel Abbes","35.1717987061","-0.593275010586"
"MUW","Ghriss Airport","Ghriss","35.207698822021484","0.14714199304580688"
"AZR","Touat Cheikh Sidi Mohamed Belkebir Airport","Adrar","27.837600708007812","-0.18641400337219238"
"BSK","Biskra Airport","Biskra","34.793300628699996","5.73823022842"
"ELG","El Golea Airport","El Golea","30.571300506591797","2.8595900535583496"
"GHA","Noumérat - Moufdi Zakaria Airport","Ghardaia","32.38410186767578","3.794110059738159"
"HME","Oued Irara Airport","Hassi Messaoud","31.673000335699996","6.140439987180001"
"INZ","In Salah Airport","In Salah","27.250999450699997","2.51202011108"
"TGR","Touggourt Sidi Madhi Airport","Touggourt","33.06779861450195","6.088669776916504"
"LOO","Laghouat Airport","Laghouat","33.764400482199996","2.92833995819"
"TMX","Timimoun Airport","Timimoun","29.2371006012","0.276033014059"
"OGX","Ain el Beida Airport","Ouargla","31.917200088500977","5.412779808044434"
"IAM","In Aménas Airport","Zarzaitine","28.0515","9.64291"
"COO","Cadjehoun Airport","Cotonou","6.357230186462402","2.384350061416626"
"OUA","Ouagadougou Airport","Ouagadougou","12.3532","-1.51242"
"BOY","Bobo Dioulasso Airport","Bobo-dioulasso","11.160099983215332","-4.33096981048584"
"ACC","Kotoka International Airport","Accra","5.605189800262451","-0.16678600013256073"
"TML","Tamale Airport","Tamale","9.55718994140625","-0.8632140159606934"
"\N","Wa Airport","Wa","10.0826997756958","-2.507689952850342"
"NYI","Sunyani Airport","Sunyani","7.361830234527588","-2.3287599086761475"
"TKD","Takoradi Airport","Takoradi","4.896059989929199","-1.7747600078582764"
"ABJ","Port Bouet Airport","Abidjan","5.261390209197998","-3.9262900352478027"
"BYK","Bouaké Airport","Bouake","7.738800048828125","-5.073669910430908"
"DJO","Daloa Airport","Daloa","6.792809963226318","-6.473189830780029"
"HGO","Korhogo Airport","Korhogo","9.38718032837","-5.55666017532"
"MJC","Man Airport","Man","7.272069931030273","-7.58735990524292"
"SPY","San Pedro Airport","San Pedro","4.746719837188721","-6.660820007324219"
"ASK","Yamoussoukro Airport","Yamoussoukro","6.9031701088","-5.36558008194"
"ABV","Nnamdi Azikiwe International Airport","Abuja","9.006790161132812","7.263169765472412"
"AKR","Akure Airport","Akure","7.246739864349365","5.3010101318359375"
"BNI","Benin Airport","Benin","6.316979885101318","5.5995001792907715"
"CBQ","Margaret Ekpo International Airport","Calabar","4.976019859313965","8.347200393676758"
"ENU","Akanu Ibiam International Airport","Enugu","6.474269866943359","7.561960220336914"
"\N","Gusau Airport","Gusau","12.1717","6.69611"
"IBA","Ibadan Airport","Ibadan","7.362460136413574","3.97832989692688"
"ILR","Ilorin International Airport","Ilorin","8.440210342407227","4.493919849395752"
"JOS","Yakubu Gowon Airport","Jos","9.639829635620117","8.869050025939941"
"KAD","Kaduna Airport","Kaduna","10.696000099182129","7.320109844207764"
"KAN","Mallam Aminu International Airport","Kano","12.0476","8.52462"
"MIU","Maiduguri International Airport","Maiduguri","11.855299949645996","13.080900192260742"
"MDI","Makurdi Airport","Makurdi","7.70388","8.61394"
"LOS","Murtala Muhammed International Airport","Lagos","6.5773701667785645","3.321160078048706"
"MXJ","Minna Airport","Minna","9.652170181274414","6.462259769439697"
"PHC","Port Harcourt International Airport","Port Hartcourt","5.0154900550842285","6.94959020614624"
"SKO","Sadiq Abubakar III International Airport","Sokoto","12.916299819946289","5.207190036773682"
"YOL","Yola Airport","Yola","9.257550239562988","12.430399894714355"
"ZAR","Zaria Airport","Zaria","11.1302","7.68581"
"MFQ","Maradi Airport","Maradi","13.5024995803833","7.1267499923706055"
"NIM","Diori Hamani International Airport","Niamey","13.4815","2.18361"
"THZ","Tahoua Airport","Tahoua","14.875699996948242","5.265359878540039"
"AJY","Mano Dayak International Airport","Agadez","16.965999603271484","8.000109672546387"
"\N","Dirkou Airport","Dirkou","18.968700408935547","12.86870002746582"
"\N","Diffa Airport","Diffa","13.372900009155273","12.626700401306152"
"ZND","Zinder Airport","Zinder","13.779000282287598","8.983759880065918"
"MIR","Monastir Habib Bourguiba International Airport","Monastir","35.75809860229492","10.75469970703125"
"TUN","Tunis Carthage International Airport","Tunis","36.85100173950195","10.22719955444336"
"\N","Sidi Ahmed Air Base","Bizerte","37.245398","9.79145"
"\N","Remada Air Base","Remada","32.30619812011719","10.382100105285645"
"GAF","Gafsa Ksar International Airport","Gafsa","34.422000885009766","8.822500228881836"
"GAE","Gabès Matmata International Airport","Gabes","33.87689971923828","10.103300094604492"
"\N","Borj El Amri Airport","Bordj El Amri","36.72129821777344","9.94314956665039"
"DJE","Djerba Zarzis International Airport","Djerba","33.875","10.775500297546387"
"EBM","El Borma Airport","El Borma","31.704299926757812","9.254619598388672"
"SFA","Sfax Thyna International Airport","Sfax","34.71799850463867","10.690999984741211"
"TOE","Tozeur Nefta International Airport","Tozeur","33.939701080322266","8.110560417175293"
"LRL","Niamtougou International Airport","Niatougou","9.767330169677734","1.091249942779541"
"LFW","Lomé-Tokoin Airport","Lome","6.165609836578369","1.2545100450515747"
"ANR","Antwerp International Airport (Deurne)","Antwerp","51.1893997192","4.46027994156"
"\N","Beauvechain Air Base","Beauvechain","50.75859832763672","4.768330097198486"
"\N","Kleine Brogel Air Base","Kleine Brogel","51.168301","5.47"
"BRU","Brussels Airport","Brussels","50.901401519800004","4.48443984985"
"\N","Jehonville Air Base","Bertrix","49.891700744628906","5.2238898277282715"
"CRL","Brussels South Charleroi Airport","Charleroi","50.459202","4.45382"
"\N","Chièvres Air Base","Chievres","50.575801849365234","3.8310000896453857"
"\N","Koksijde Air Base","Koksijde","51.090301513671875","2.652780055999756"
"\N","Florennes Air Base","Florennes","50.2433013916","4.64583015442"
"KJK","Wevelgem Airport","Kortrijk-vevelgem","50.817199707","3.20472002029"
"LGG","Liège Airport","Liege","50.63740158081055","5.443220138549805"
"OST","Ostend-Bruges International Airport","Ostend","51.198898315399994","2.8622200489"
"\N","Zutendaal Air Base","Zutendaal","50.9474983215332","5.590559959411621"
"\N","Brustem Airfield Sint Truiden","Sint-truiden","50.791901","5.20167"
"\N","Saint Hubert Air Base","St.-hubert","50.034400939941406","5.440810203552246"
"\N","Ursel Air Base","Ursel","51.14419937133789","3.475559949874878"
"\N","Weelde Air Base","Weelde","51.394798278808594","4.9601898193359375"
"OBL","Zoersel (Oostmalle) Airfield","Zoersel","51.264702","4.75333"
"\N","Flugplatz Bautzen","Bautzen","51.193611","14.519722"
"AOC","Altenburg-Nobitz Airport","Altenburg","50.981945","12.506389"
"\N","Dessau Airfield","Dessau","51.831694","12.190962"
"\N","Eisenhüttenstadt Airfield","Eisenhuettenstadt","52.195856","14.58753"
"\N","Großenhain Airport","Suhl","51.30805587768555","13.555556297302246"
"\N","Merseburg Airport","Muehlhausen","51.3630556","11.9408333"
"\N","Halle-Oppin Airport","Halle","51.552223","12.053889"
"IES","Riesa-Göhlis Airport","Riesa","51.2936096191","13.3561105728"
"REB","Rechlin-Lärz Airport","Rechlin-laerz","53.306388855","12.7522220612"
"\N","Strausberg Airport","Strausberg","52.5805549621582","13.916666984558105"
"QXH","Schönhagen Airport","Schoenhagen","52.203609","13.156389"
"BBH","Barth Airport","Barth","54.338253","12.710515"
"\N","Jena-Schöngleina Airfield","Jena","50.915279","11.714444"
"\N","Kyritz Airport","Kyritz","52.918888092041016","12.425277709960938"
"ZMG","Magdeburg ""City"" Airport","Magdeburg","52.073612","11.626389"
"\N","Rothenburg/Görlitz Airport","Rothenburg/ol","51.36333465576172","14.949999809265137"
"\N","Anklam Airfield","Anklam","53.832779","13.668611"
"CBU","Cottbus-Drewitz Airport","Cottbus","51.889442","14.531944"
"\N","Kamenz Airport","Kamenz","51.29694366455078","14.1274995803833"
"SXF","Berlin-Schönefeld Airport","Berlin","52.380001","13.5225"
"DRS","Dresden Airport","Dresden","51.1328010559082","13.767200469970703"
"ERF","Erfurt Airport","Erfurt","50.979801177978516","10.958100318908691"
"FRA","Frankfurt am Main Airport","Frankfurt","50.033333","8.570556"
"FMO","Münster Osnabrück Airport","Munster","52.134601593","7.68483018875"
"HAM","Hamburg Airport","Hamburg","53.630401611328","9.9882297515869"
"THF","Berlin-Tempelhof International Airport","Berlin","52.472999572753906","13.403900146484375"
"CGN","Cologne Bonn Airport","Cologne","50.8658981323","7.1427397728"
"DUS","Düsseldorf Airport","Duesseldorf","51.289501","6.76678"
"MUC","Munich Airport","Munich","48.353802","11.7861"
"NUE","Nuremberg Airport","Nuernberg","49.498699","11.078056"
"LEJ","Leipzig/Halle Airport","Leipzig","51.423889","12.236389"
"SCN","Saarbrücken Airport","Saarbruecken","49.214599609400004","7.10950994492"
"STR","Stuttgart Airport","Stuttgart","48.689899444599995","9.22196006775"
"TXL","Berlin-Tegel Airport","Berlin","52.5597","13.2877"
"HAJ","Hannover Airport","Hannover","52.461101532","9.685079574580001"
"BRE","Bremen Airport","Bremen","53.0475006104","8.78666973114"
"QEF","Frankfurt-Egelsbach Airport","Egelsbach","49.959999","8.645833"
"HHN","Frankfurt-Hahn Airport","Hahn","49.9487","7.26389"
"MHG","Mannheim-City Airport","Mannheim","49.473057","8.514167"
"\N","Allendorf/Eder Airport","Allendorf","51.03499984741211","8.680832862854004"
"\N","Worms Airport","Worms","49.606945","8.368333"
"\N","Mainz-Finthen Airport","Mainz","49.967499","8.147222"
"EIB","Eisenach-Kindel Airport","Eisenach","50.991604","10.47973"
"SGE","Siegerland Airport","Siegerland","50.707698822021484","8.082969665527344"
"XFW","Hamburg-Finkenwerder Airport","Hamburg","53.5352783203125","9.835556030273438"
"KEL","Kiel-Holtenau Airport","Kiel","54.37944412231445","10.145277976989746"
"LBC","Lübeck Blankensee Airport","Luebeck","53.8054008484","10.7192001343"
"\N","Flugplatz Dahlemer Binz","Dahlemer Binz","50.405555725","6.5288891792"
"\N","Meinerzhagen Airport","Meinerzhagen","51.099998474121094","7.599999904632568"
